,Region_annotation
2,DCIS2
15,DCIS2
39,DCIS2
43,DCIS2
57,DCIS2
68,DCIS2
69,DCIS2
70,DCIS2
72,DCIS2
73,Unassigned
74,Unassigned
75,DCIS2
77,DCIS2
78,DCIS2
81,DCIS2
82,DCIS2
84,DCIS2
85,DCIS2
86,DCIS2
87,DCIS2
90,DCIS2
91,DCIS2
92,DCIS2
93,DCIS2
94,DCIS2
95,DCIS2
96,DCIS2
97,DCIS2
98,DCIS2
99,DCIS2
100,DCIS2
101,DCIS2
102,DCIS2
103,DCIS2
104,DCIS2
105,DCIS2
106,DCIS2
107,DCIS2
108,DCIS2
109,DCIS2
110,DCIS2
111,DCIS2
112,DCIS2
113,DCIS2
114,DCIS2
115,DCIS2
116,DCIS2
117,DCIS2
119,DCIS2
120,DCIS2
121,DCIS2
122,DCIS2
123,DCIS2
124,DCIS2
125,DCIS2
126,DCIS2
127,DCIS2
129,DCIS2
130,DCIS2
131,DCIS2
133,DCIS2
134,DCIS2
135,DCIS2
136,DCIS2
137,DCIS2
138,DCIS2
139,DCIS2
140,DCIS2
141,DCIS2
142,DCIS2
143,DCIS2
144,DCIS2
145,DCIS2
146,DCIS2
147,DCIS2
148,DCIS2
150,DCIS2
151,DCIS2
152,DCIS2
153,DCIS2
154,DCIS2
155,DCIS2
156,DCIS2
157,DCIS2
158,DCIS2
159,DCIS2
160,DCIS2
161,DCIS2
162,DCIS2
163,DCIS2
164,DCIS2
165,DCIS2
166,DCIS2
167,DCIS2
168,DCIS2
169,DCIS2
170,DCIS2
171,DCIS2
172,DCIS2
173,DCIS2
174,DCIS2
175,DCIS2
177,DCIS2
178,DCIS2
180,DCIS2
182,DCIS2
184,DCIS2
185,DCIS2
186,DCIS2
188,DCIS2
193,DCIS2
195,DCIS2
197,DCIS2
198,DCIS2
199,DCIS2
201,DCIS2
202,DCIS2
203,DCIS2
204,DCIS2
206,DCIS2
207,DCIS2
208,DCIS2
209,DCIS2
210,DCIS2
211,DCIS2
212,DCIS2
213,DCIS2
214,DCIS2
215,DCIS2
217,DCIS2
218,DCIS2
219,DCIS2
221,DCIS2
222,DCIS2
223,DCIS2
224,DCIS2
225,DCIS2
226,DCIS2
228,DCIS2
229,DCIS2
230,DCIS2
231,DCIS2
232,DCIS2
234,DCIS2
235,DCIS2
236,DCIS2
237,DCIS2
238,DCIS2
239,DCIS2
240,DCIS2
241,DCIS2
242,DCIS2
243,DCIS2
244,DCIS2
245,DCIS2
246,DCIS2
247,DCIS2
248,DCIS2
250,Unassigned
252,Unassigned
253,Unassigned
254,Unassigned
255,Unassigned
256,Unassigned
257,Unassigned
258,Unassigned
259,Unassigned
260,Unassigned
261,Unassigned
262,Unassigned
263,Unassigned
264,Unassigned
265,Unassigned
266,Unassigned
267,Unassigned
268,Unassigned
269,Unassigned
270,Unassigned
271,Unassigned
273,Unassigned
274,Unassigned
275,Unassigned
276,Unassigned
277,Unassigned
278,Unassigned
279,Unassigned
280,Unassigned
281,Unassigned
282,Unassigned
283,Unassigned
285,Unassigned
286,Unassigned
287,Unassigned
288,Unassigned
289,Unassigned
290,Unassigned
291,Unassigned
292,Unassigned
293,Unassigned
294,Unassigned
297,Unassigned
299,Unassigned
300,Unassigned
302,Unassigned
303,Unassigned
304,Unassigned
305,Unassigned
306,Unassigned
307,Unassigned
308,Unassigned
309,Unassigned
310,Unassigned
311,Unassigned
312,Unassigned
313,DCIS2
314,Unassigned
315,Unassigned
316,Unassigned
317,Unassigned
318,Unassigned
321,Unassigned
322,Unassigned
323,Unassigned
326,Unassigned
327,Unassigned
329,DCIS2
330,Unassigned
332,Unassigned
333,Unassigned
334,DCIS2
335,Unassigned
336,Unassigned
338,Unassigned
339,Unassigned
340,Unassigned
341,Unassigned
342,Unassigned
343,Unassigned
344,Unassigned
345,Unassigned
346,DCIS2
347,Unassigned
349,Unassigned
350,Unassigned
352,Unassigned
356,Unassigned
359,Unassigned
360,Unassigned
362,Unassigned
366,Unassigned
369,Unassigned
372,Unassigned
375,Unassigned
377,DCIS2
378,DCIS2
380,DCIS2
381,DCIS2
384,DCIS2
386,DCIS2
387,Unassigned
392,DCIS2
393,DCIS2
395,DCIS2
400,DCIS2
406,DCIS2
407,DCIS2
408,DCIS2
410,DCIS2
411,DCIS2
412,DCIS2
413,DCIS2
415,DCIS2
416,DCIS2
417,DCIS2
418,DCIS2
419,DCIS2
420,DCIS2
421,DCIS2
422,DCIS2
423,DCIS2
424,DCIS2
425,DCIS2
426,DCIS2
427,DCIS2
428,DCIS2
429,DCIS2
431,DCIS2
432,DCIS2
433,DCIS2
434,DCIS2
435,DCIS2
436,DCIS2
437,DCIS2
438,DCIS2
440,DCIS2
443,DCIS2
444,DCIS2
446,DCIS2
447,DCIS2
448,DCIS2
449,DCIS2
450,DCIS2
451,DCIS2
452,DCIS2
453,DCIS2
454,DCIS2
455,DCIS2
456,DCIS2
457,DCIS2
458,DCIS2
459,DCIS2
460,DCIS2
461,DCIS2
462,DCIS2
463,DCIS2
464,DCIS2
465,DCIS2
466,DCIS2
467,DCIS2
468,DCIS2
469,DCIS2
470,DCIS2
471,DCIS2
472,DCIS2
473,DCIS2
474,DCIS2
475,DCIS2
477,DCIS2
479,DCIS2
489,Unassigned
490,Unassigned
491,Unassigned
492,Unassigned
493,Unassigned
495,Unassigned
498,Unassigned
501,Unassigned
502,Unassigned
504,Unassigned
505,Unassigned
506,Unassigned
507,Unassigned
508,Unassigned
509,Unassigned
510,Unassigned
512,Unassigned
515,Unassigned
516,Unassigned
517,Unassigned
519,Unassigned
520,Unassigned
522,Unassigned
525,Unassigned
526,Unassigned
527,Unassigned
528,Unassigned
529,Unassigned
530,Unassigned
531,Unassigned
533,Unassigned
534,Unassigned
538,Unassigned
539,Unassigned
541,Unassigned
543,Unassigned
545,Unassigned
547,Unassigned
548,Unassigned
551,Unassigned
554,Unassigned
556,Unassigned
557,Unassigned
558,Unassigned
559,Unassigned
560,Unassigned
561,Unassigned
563,Unassigned
565,Unassigned
567,Unassigned
568,Unassigned
569,Unassigned
570,Unassigned
571,Unassigned
573,Unassigned
574,Unassigned
575,Unassigned
576,Unassigned
577,Unassigned
580,Unassigned
582,Unassigned
583,Unassigned
584,Unassigned
587,Unassigned
589,Unassigned
590,Unassigned
593,Unassigned
595,DCIS2
596,DCIS2
597,DCIS2
601,DCIS2
603,DCIS2
608,DCIS2
610,DCIS2
612,DCIS2
614,DCIS2
617,DCIS2
620,DCIS2
623,DCIS2
624,DCIS2
626,DCIS2
629,DCIS2
630,DCIS2
631,Unassigned
632,Unassigned
635,Unassigned
636,Unassigned
638,Unassigned
640,Unassigned
641,Unassigned
642,Unassigned
643,Unassigned
647,Unassigned
649,Unassigned
650,Unassigned
651,Unassigned
654,Unassigned
655,Unassigned
656,Unassigned
